iter	Logloss
0	0.6630387644
1	0.6349308711
2	0.6085985284
3	0.58324918
4	0.561494593
5	0.5405297484
6	0.5202936124
7	0.5018657609
8	0.4846448945
9	0.4691008164
10	0.454393004
11	0.4413131004
12	0.428565117
13	0.4170360922
14	0.4068294989
15	0.3969091656
16	0.3873126794
17	0.378392143
18	0.3705447892
19	0.3635419336
20	0.355965442
21	0.3488979545
22	0.3426906266
23	0.3365915369
24	0.3314315545
25	0.3261890214
26	0.3207067826
27	0.3158734999
28	0.3118500492
29	0.3080126324
30	0.3042973012
31	0.3011662121
32	0.2978005324
33	0.2944381003
34	0.2917098369
35	0.2889397494
36	0.2862590099
37	0.2837344277
38	0.2813042224
39	0.278910153
40	0.276745171
41	0.2745249091
42	0.2724724199
43	0.2705944396
44	0.2688967385
45	0.2673314733
46	0.2656363042
47	0.2643422254
48	0.2628959124
49	0.261629968
50	0.2603533575
51	0.258990412
52	0.2575608043
53	0.2561838273
54	0.2549827848
55	0.2540630969
56	0.2530610395
57	0.2521155371
58	0.2511115693
59	0.2501015264
60	0.2491603731
61	0.2484810023
62	0.2477194204
63	0.2468604551
64	0.2459599979
65	0.2451395829
66	0.2444881832
67	0.2438858299
68	0.2431081727
69	0.2424476995
70	0.2417975366
71	0.2412856123
72	0.2407694695
73	0.2401628494
74	0.2394729147
75	0.239070207
76	0.2384480788
77	0.2380703919
78	0.2374525163
79	0.2370002998
80	0.2364678307
81	0.2358945013
82	0.2354279076
83	0.2350741276
84	0.234661498
85	0.2342506931
86	0.2339202401
87	0.2334485756
