iter	Passed	Remaining
0	325	28350
1	546	23485
2	760	21537
3	927	19484
4	1089	18083
5	1307	17869
6	1584	18340
7	1867	18673
8	2021	17744
9	2304	17972
10	2497	17481
11	2733	17311
12	2934	16930
13	3166	16737
14	3384	16473
15	3586	16138
16	3762	15712
17	3989	15514
18	4341	15764
19	4504	15316
20	4739	15122
21	4964	14893
22	5120	14471
23	5302	14140
24	5479	13809
25	5644	13459
26	5881	13288
27	6061	12989
28	6241	12698
29	6413	12398
30	6628	12187
31	6809	11916
32	7084	11806
33	7312	11613
34	7497	11353
35	7641	11038
36	7802	10754
37	8159	10735
38	8386	10536
39	8539	10247
40	8729	10006
41	8971	9826
42	9177	9603
43	9424	9424
44	9561	9136
45	9754	8906
46	9980	8706
47	10212	8510
48	10406	8282
49	10575	8037
50	10728	7783
51	11110	7692
52	11338	7487
53	11700	7367
54	11901	7141
55	12064	6893
56	12350	6716
57	12701	6569
58	12911	6346
59	13172	6147
60	13399	5930
61	13642	5721
62	13889	5511
63	14099	5287
64	14351	5078
65	14554	4851
66	14688	4603
67	14920	4388
68	15156	4173
69	15422	3965
70	15648	3746
71	15952	3545
72	16140	3316
73	16471	3116
74	16876	2925
75	17229	2720
76	17539	2505
77	17835	2286
78	18146	2067
79	18378	1837
80	18568	1604
81	18793	1375
82	18987	1143
83	19170	912
84	19533	689
85	19902	462
86	20166	231
87	20358	0
